vehicles,Avg_Traffic_Duration,date,events,weather,temperature,hour,,
258,1.3,01-01-2023,Weekend,Sunny,39.3,1,,
253,2.655,01-01-2023,Weekend,Sunny,35.6,4,,
354,1.555,01-01-2023,Weekend,Foggy,11.4,19,,
169,0.4,01-01-2023,Weekend,Stormy,21.6,21,,
189,4.41,01-01-2023,Weekend,Stormy,16.3,5,,
78,4.715,01-01-2023,Weekend,Cloudy,21.3,14,,
175,4.94,01-01-2023,Weekend,Cloudy,24.1,9,,
398,3.615,01-01-2023,Weekend,Stormy,22.1,0,,
460,3.88,01-01-2023,Weekend,Foggy,15.8,7,,
235,0.89,01-01-2023,Weekend,Stormy,17.4,12,,
476,1.625,01-01-2023,Weekend,Rainy,25.6,3,,
405,2.02,01-01-2023,Weekend,Cloudy,22,8,,
160,0.55,01-01-2023,Weekend,Rainy,22.8,5,,
202,3.89,01-01-2023,Weekend,Stormy,18.6,18,,
147,4.77,01-01-2023,Weekend,Stormy,20.2,10,,
346,3.065,01-01-2023,Weekend,Cloudy,28.7,3,,
58,4.935,01-01-2023,Weekend,Rainy,22.2,15,,
198,0.5,01-01-2023,Weekend,Foggy,14.8,20,,
401,1.7,02-01-2023,None,Stormy,19.5,4,,
348,0.29,02-01-2023,None,Rainy,23.2,0,,
293,0.075,02-01-2023,None,Foggy,14.1,6,,
210,3.555,02-01-2023,None,Sunny,28.1,11,,
463,4.6,02-01-2023,None,Rainy,20,3,,
82,4.53,02-01-2023,None,Foggy,16.9,15,,
407,2.435,02-01-2023,None,Sunny,28,5,,
172,2.19,02-01-2023,None,Rainy,22.5,22,,
56,1.98,02-01-2023,None,Cloudy,27.1,13,,
273,0.78,02-01-2023,None,Rainy,27.4,3,,
448,2.61,02-01-2023,None,Cloudy,27.9,20,,
88,4.83,03-01-2023,None,Cloudy,25.4,23,,
414,0.995,03-01-2023,None,Foggy,10.3,10,,
382,3.885,03-01-2023,None,Stormy,18.3,12,,
286,1.925,03-01-2023,None,Foggy,17.3,3,,
374,2.935,03-01-2023,None,Cloudy,29.5,21,,
137,4.485,03-01-2023,None,Sunny,37.5,22,,
251,3.695,03-01-2023,None,Stormy,16.1,12,,
301,3.765,03-01-2023,None,Cloudy,21.3,6,,
500,0.95,03-01-2023,None,Cloudy,27.1,21,,
121,2.92,03-01-2023,None,Sunny,28.9,4,,
187,1.635,03-01-2023,None,Cloudy,22.4,10,,
173,0.725,03-01-2023,None,Rainy,19.9,6,,
450,3.98,03-01-2023,None,Stormy,23.8,11,,
405,2.155,03-01-2023,None,Rainy,21.5,12,,
458,3.37,04-01-2023,None,Sunny,27.2,6,,
493,1.095,04-01-2023,None,Cloudy,27,15,,
456,0.075,04-01-2023,None,Stormy,22.5,18,,
291,0.625,04-01-2023,None,Foggy,14.4,11,,
172,0.275,04-01-2023,None,Foggy,18.7,0,,
485,1.23,04-01-2023,None,Foggy,16.1,10,,
407,2.68,04-01-2023,None,Foggy,19.9,3,,
245,3.715,04-01-2023,None,Stormy,18.5,11,,
412,0.725,04-01-2023,None,Foggy,18.4,6,,
392,0.62,04-01-2023,None,Rainy,21.1,20,,
299,4.86,04-01-2023,None,Foggy,11,7,,
142,2.75,04-01-2023,None,Foggy,14.8,8,,
299,4.465,04-01-2023,None,Cloudy,24.1,23,,
136,1.02,04-01-2023,None,Sunny,27.1,5,,
457,2.76,04-01-2023,None,Cloudy,26.9,2,,
73,2.785,05-01-2023,None,Foggy,10.1,13,,
488,2.845,05-01-2023,None,Stormy,23.3,4,,
169,2.725,05-01-2023,None,Cloudy,22.9,6,,
342,0.665,05-01-2023,None,Cloudy,27.2,16,,
73,3.425,05-01-2023,None,Rainy,20.1,8,,
321,2.995,05-01-2023,None,Stormy,23,13,,
329,4.14,05-01-2023,None,Sunny,35.6,7,,
200,3.845,05-01-2023,None,Sunny,26.1,22,,
202,3.29,05-01-2023,None,Rainy,23.3,0,,
88,3.115,05-01-2023,None,Foggy,13.2,1,,
485,0.98,06-01-2023,None,Foggy,12.4,15,,
121,3.12,06-01-2023,None,Sunny,34.3,20,,
303,1.375,06-01-2023,None,Sunny,29.7,17,,
110,2.405,06-01-2023,None,Cloudy,26.6,15,,
108,1.32,06-01-2023,None,Cloudy,29.7,18,,
417,1.715,06-01-2023,None,Foggy,12.5,21,,
208,2.25,06-01-2023,None,Rainy,21.3,20,,
423,3.695,06-01-2023,None,Cloudy,29.1,17,,
253,2.845,06-01-2023,None,Rainy,22.8,4,,
461,3.125,06-01-2023,None,Rainy,25.8,16,,
444,0.205,06-01-2023,None,Stormy,23.4,19,,
434,3.475,06-01-2023,None,Sunny,29.9,4,,
275,2.345,06-01-2023,None,Stormy,18.6,5,,
96,4.78,06-01-2023,None,Sunny,31.1,6,,
258,2.235,06-01-2023,None,Cloudy,23.5,9,,
153,2.09,07-01-2023,Weekend,Foggy,15.2,6,,
67,3.985,07-01-2023,Weekend,Foggy,11,20,,
152,4.965,07-01-2023,Weekend,Cloudy,30,14,,
491,0.945,07-01-2023,Weekend,Cloudy,26.4,0,,
244,3.525,07-01-2023,Weekend,Stormy,19.8,0,,
194,1.39,07-01-2023,Weekend,Sunny,30.5,13,,
420,0.24,07-01-2023,Weekend,Rainy,18.7,21,,
476,0.875,07-01-2023,Weekend,Foggy,13.9,10,,
